lyukad,lyukas
eltilt,eltölt
elural,elutal
elvesz,elvisz
elvesz,elvész
elvisz,elvész
elvolt,elvált
elájul,elámul
elájul,elárul
elámul,elárul
elámít,elásít
elégel,elékel
elégít,elépít
elégül,elépül
elégül,elévül
elékez,elérez
elépül,elévül
előfej,előtej
előfog,előjog
előfon,elővon
előfut,előjut
előfúr,előtúr
előfűt,előhűt
előhúz,előzúz
előjel,előlel
előjár,előtár
előjár,elővár
előkap,előlap
előkép,előlép
előkér,előtér
előold,előáld
előrag,előtag
előrág,elővág
előrül,elősül
előtár,elővár
előtét,elővét
előárt,előért
előárt,előírt
előért,előírt
elömöl,elötöl
enyhes,enyves
eredet,ereget
eredet,erezet
ereget,erezet
erődít,erősít
esteli,estéli
egyéni,egyévi
elcsap,elcsíp
elfejt,elfest
elgyúr,elgyűr
elhajt,elhalt
elküld,elküzd
ellejt,ellent
elnyal,elnyel
elnyer,elnyír
elszed,elszid
elszel,elszól
elszel,elszül
elszól,elszül
elszór,elszúr
elszór,elszűr
elszúr,elszűr
eltelt,eltett
eltölt,eltört
elutal,elutál
elvolt,elvont
elásat,elásít
elégel,elégül
eléget,elégít
előfej,előfáj
előfej,előfúj
előfut,előfűt
előfáj,előfúj
előfőz,előfűz
előhat,előhűt
előhoz,előhúz
előkap,előkép
előlap,előlép
előrag,előrág
előriz,előráz
előröl,előrül
előtár,előtér
előtár,előtör
előtár,előtúr
előtér,előtör
előtér,előtúr
előtör,előtúr
elővet,elővét
előölt,előönt
evezés,evezős
ekkora,ekkori
elakad,elakar
elcsal,elcsap
elemel,elemez
eleség,elesés
eleven,elevez
elhall,elhalt
elhall,elhaló
elhalt,elhaló
elhánt,elhány
elleng,ellent
elment,elmenő
elnyel,elnyer
elnyel,elnyes
elnyer,elnyes
elseje,elseji
elseje,elsejt
elseji,elsejt
elszed,elszeg
elszed,elszel
elszeg,elszel
elszól,elszór
elural,eluraz
elvont,elvonz
elvont,elvonó
elvonz,elvonó
elzárt,elzáró
elégel,eléget
elékel,elékez
előfog,előfon
előfúj,előfúr
előfűt,előfűz
előhad,előhat
előkél,előkép
előkél,előkér
előkép,előkér
előleg,előlel
előnév,előnéz
előrag,előrak
előrág,előráz
előszó,elősző
elősül,elősüt
előtér,előtét
elővág,elővár
elővéd,elővét
előzék,előzés
előzúg,előzúz
előáld,előáll
enyves,enyvez
ernyős,ernyőz
estéli,estély
hagyás,fagyás
hajzat,fajzat
harács,farács
hattyú,fattyú
helvét,felvét
hiúsít,fiúsít
hályog,tályog
hantál,tantál
henger,tenger
hintás,tintás
hiszti,tiszti
horkol,torkol
horony,torony
horpad,torpad
horzsa,torzsa
hallás,vallás
hallat,vallat
hályog,vályog
hegyes,vegyes
hígság,vígság
hívott,vívott
hagyás,ragyás
hangos,rangos
hántás,rántás
heppen,reppen
hajlás,zajlás
hajlik,zajlik
hökken,zökken
hördül,zördül
hörgés,zörgés
hantol,lantol
házadó,lázadó
hegyez,legyez
heverő,leverő
hombár,lombár
hőelem,lőelem
hajdan,majdan
halmos,malmos
hántol,mántol
hentes,mentes
hintás,mintás
hormon,mormon
horzsa,morzsa
harcol,sarcol
herceg,serceg
hurrog,surrog
hangol,óangol
hajtat,kajtat
halász,kalász
harcol,karcol
harcos,karcos
hártya,kártya
hegyes,kegyes
hering,kering
herreg,kerreg
hétrét,kétrét
hetyeg,ketyeg
heverő,keverő
horhol,korhol
hurrog,kurrog
hántás,bántás
hántat,bántat
hegyes,begyes
hering,bering
herreg,berreg
hódító,bódító
hordás,bordás
hosszú,bosszú
hurkol,burkol
hímzés,címzés
huppan,cuppan
hangos,gangos
holyva,golyva
hördül,gördül
hajtás,pajtás
hántol,pántol
herceg,perceg
hergel,pergel
hetyeg,petyeg
hördül,pördül
hörgés,pörgés
hinnye,dinnye
hördül,dördül
hörgés,dörgés
hurrog,durrog
hegyes,jegyes
hegyez,jegyez
hallat,hullat
hallik,hullik
halott,holott
hantál,hintál
hántás,hintás
hantol,hántol
hányat,hunyat
harcol,hurcol
hitlen,hűtlen
hízott,hozott
hízott,húzott
horkol,hurkol
hozott,húzott
hacuka,hamuka
hacuka,hanuka
hajító,hasító
hajlás,hallás
hajlat,hallat
hajlik,hallik
hajsza,hausza
haladó,hasadó
halasi,havasi
hamuka,hanuka
hátfal,házfal
hegyes,helyes
hegyez,helyez
henceg,herceg
hígság,hívság
hihető,hitető
hívott,hízott
hodály,homály
hódoló,hótoló
hódolt,hófolt
hodzsa,horzsa
holott,hozott
hajlás,hajtás
hajlat,hajtat
hajlat,hajzat
hajtat,hajzat
hangol,hantol
hántás,hányás
hántat,hányat
herceg,herreg
herceg,herseg
herreg,herseg
horgad,horpad
horgol,horhol
horgol,horkol
horgos,horhos
horhol,horkol
hurcol,hurkol
hajlás,hajlós
hajlat,hajlít
hajlék,hajlik
haláli,halápi
halmaz,halmoz
hangol,hangul
hantál,hantol
házadó,házaló
hazaér,hazaír
herceg,hercig
hordás,hordós
horgas,horgos
hajlam,hajlat
halmos,halmoz
hamvad,hamvas
hamvad,hamvaz
hamvas,hamvaz
hangol,hangos
hangol,hangoz
hangos,hangoz
hányad,hányat
harcol,harcos
hárman,hármas
hasadó,hasadt
hazafi,hazafő
hegedő,hegedű
hegyes,hegyez
helyes,helyez
hídláb,hídlás
hintál,hintás
hiszem,hiszen
hódoló,hódolt
hordár,hordás
horgad,horgas
horgol,horgos
horhol,horhos
hurkol,hurkos
magyal,fagyal
markos,farkos
melles,felles
mérges,férges
meszes,feszes
mordul,fordul
morgás,forgás
műszál,fűszál
műszer,fűszer
magoló,tagoló
merítő,terítő
metsző,tetsző
mintás,tintás
mokány,tokány
morzsa,torzsa
motyog,totyog
magány,vagány
metélő,vetélő
makett,rakett
meszel,reszel
motyog,rotyog
makkos,lakkos
meszel,leszel
motyog,lotyog
majdan,hajdan
malmos,halmos
mántol,hántol
mentes,hentes
mintás,hintás
mormon,hormon
morzsa,horzsa
maláta,saláta
markos,sarkos
macska,kacska
mardos,kardos
massza,kassza
mellék,kellék
mereng,kereng
mérges,kérges
merítő,kerítő
merülő,kerülő
métely,kétely
mézelő,kézelő
miféle,kiféle
moccan,koccan
mondás,kondás
morcol,korcol
mordul,kordul
morgás,korgás
motyog,kotyog
mutató,kutató
magzás,bagzás
magzik,bagzik
mennél,bennél
mereng,bereng
meszel,beszel
millió,billió
mukkan,bukkan
művész,bűvész
makkos,cakkos
mállás,pállás
mállik,pállik
markol,parkol
markőr,parkőr
mántol,pántol
morcos,porcos
motyog,potyog
mukkan,pukkan
megesz,degesz
mereng,dereng
merítő,derítő
mártat,jártat
mattol,jattol
manusz,mínusz
maréna,moréna
maszat,mászat
maszat,moszat
mászat,moszat
maszka,muszka
mántol,mentol
méltán,múltán
mézgás,mozgás
mackós,mankós
magház,marház
mágnás,málnás
magzat,maszat
makkol,markol
makkos,markos
mállás,máslás
mamusz,manusz
mániás,máriás
másoló,mázoló
megélt,metélt
megles,melles
megsző,metsző
megtol,mentol
méhsör,mézsör
mentől,mettől
mocsár,mozsár
moholy,mosoly
mondás,mosdás
mondat,mosdat
mordul,mozdul
morgás,mozgás
mulató,mutató
magmás,magzás
málhás,mállás
málhás,málnás
mállás,málnás
maradi,maródi
mardos,markos
marhul,marjul
máriás,márkás
máriás,mártás
márkás,mártás
máslás,mászás
megáld,megold
megárt,megért
megbír,megsír
megbök,meglök
megbök,megpök
megbúj,megfúj
megdől,megfől
megdúl,megfúl
megdűl,meghűl
megejt,megojt
megélt,megolt
megélt,megölt
megfal,meghal
megfen,megken
megfér,megkér
megfér,megmér
megfér,megtér
megfon,megvon
megfúr,megkúr
megfúr,megtúr
megfut,megjut
megfűt,meghűt
megfűt,megműt
megfűz,megtűz
meghág,megrág
meghág,megvág
meghív,megvív
meghúz,megzúz
meghűt,megműt
megint,megont
megint,megönt
megjár,megvár
megkel,meglel
megkél,megvél
megkér,megmér
megkér,megtér
megkúr,megtúr
meglép,megtép
meglét,megvét
meglök,megpök
megmer,megver
megmér,megtér
megolt,megölt
megont,megönt
megrág,megvág
megrúg,megsúg
megvés,megyés
méhbaj,méhraj
morcol,mormol
mosdat,moszat
magágy,magány
mágnás,mágnes
maródi,maróni
megdől,megdúl
megdől,megdűl
megdúl,megdűl
megedz,megesz
megélt,megért
megfal,megfől
megfal,megfúl
megfej,megfúj
megfen,megfon
megfér,megfúr
megfől,megfúl
megfőz,megfűz
megfut,megfűt
meghal,meghál
meghal,meghűl
meghál,meghűl
meghat,meghűt
meghoz,meghúz
megkap,megköp
megkel,megkél
megkér,megkúr
meglát,meglét
meglep,meglép
meglep,meglop
meglép,meglop
megmar,megmer
megmar,megmér
megmer,megmér
megojt,megolt
megojt,megont
megolt,megont
megölt,megönt
megrág,megrúg
megtér,megtör
megtér,megtúr
megtér,megtűr
megtör,megtúr
megtör,megtűr
megtúr,megtűr
megvan,megvon
megvár,megver
megvet,megvét
mélyít,mélyút
menten,mentén
mentes,mentés
mentes,mentős
mentés,mentős
mentol,mentől
mindaz,mindez
mindég,mindig
magyal,magyar
májbab,májbaj
makkol,makkos
málhás,málház
maradi,maradó
márkás,márkáz
markol,markos
mázsál,mázsás
megáld,megáll
megbír,megbíz
megeső,megesz
megfed,megfej
megfed,megfen
megfej,megfen
megfog,megfon
megfől,megfőz
megfúj,megfúl
megfúj,megfúr
megfúl,megfúr
megfűt,megfűz
meghág,meghál
meghal,meghat
meghűl,meghűt
meging,megint
megkel,megken
megkél,megkér
megköp,megköt
meglel,meglep
meglel,megles
meglep,megles
meglép,meglét
megold,megolt
megrág,megráz
megsül,megsüt
megtép,megtér
megtöm,megtör
megtűr,megtűz
megvág,megvár
megvéd,megvél
megvéd,megvés
megvéd,megvét
megvél,megvés
megvél,megvét
megver,megvet
megvés,megvét
mellől,mellőz
menten,mentes
menten,mentet
mentén,mentés
mentes,mentet
mentol,mentor
mentől,mentős
mennye,mennyi
mérges,mérgez
meszel,meszes
meszel,meszez
meszes,meszez
messze,messzi
metélő,metélt
mettől,mettőr
minden,mindez
mintás,mintáz
morcol,morcos
mormog,mormol
mormog,mormon
mormol,mormon
mulató,mulatt
munkál,munkás
műszem,műszer
művelő,művelt
újulat,ájulat
útmérő,átmérő
úttörő,áttörő
úsztat,osztat
újraér,újraír
úszómű,úszótű
újraél,újraér
sarkos,farkos
sejlik,fejlik
sejtés,fejtés
sejtet,fejtet
sekély,fekély
selejt,felejt
serbli,ferbli
serdül,ferdül
sövény,fövény
sújtat,fújtat
sábesz,tábesz
sampon,tampon
sáncol,táncol
sárház,tárház
sarkít,tarkít
sarlóz,tarlóz
sikkad,tikkad
sajtol,rajtol
sáncol,ráncol
seggel,reggel
sejlik,rejlik
sejtet,rejtet
sikolt,rikolt
sugdos,rugdos
sajgás,zajgás
sajtos,lajtos
sáncol,láncol
satyak,latyak
sehány,lehány
sejtés,lejtés
selejt,lelejt
seppeg,leppeg
sarcol,harcol
serceg,herceg
surrog,hurrog
saláta,maláta
sarkos,markos
sarcol,karcol
sikong,kikong
sirály,király
somlói,komlói
surrog,kurrog
sakter,bakter
sehány,behány
selejt,belejt
sorház,borház
sorozó,borozó
sorsos,borsos
sujtás,bujtás
sújtat,bújtat
surján,burján
sittel,gittel
sörény,görény
sárlás,párlás
sasszé,passzé
serceg,perceg
sercen,percen
serdül,perdül
sintér,pintér
susmog,pusmog
sehogy,dehogy
sokkol,dokkol
söntés,döntés
sugdos,dugdos
surran,durran
surrog,durrog
sürgés,dürgés
sajdul,jajdul
sajdít,sejdít
saller,siller
sárház,sorház
sárház,sörház
serény,sörény
sertés,sértés
sertés,sörtés
sértés,sörtés
sólyom,sulyom
sommás,summás
sorház,sörház
sujtás,sújtás
saccol,sarcol
sajdít,sandít
sajkás,sapkás
segély,sekély
sejtés,sertés
sikoly,sipoly
söntés,sörtés
sörény,sövény
status,státus
suhogó,susogó
sajgás,sajkás
sajnos,sajtos
sárgás,sárlás
serbli,sercli
serceg,serleg
sercen,serken
snapsz,snassz
suskus,susmus
sejtes,sejtés
sokkal,sokkol
somlai,somlói
sürgés,sürgős
sajtol,sajtos
sarlós,sarlóz
sehova,sehová
sejtes,sejtet
semmis,semmiz
serceg,sercen
serked,serken
sikolt,sikoly
sírásó,sírású
sorsol,sorsos
srófol,srófos
sulyok,sulyom
súlyos,súlyoz
summás,summáz
arányú,irányú
ászkol,iszkol
abbeli,ebbeli
addigi,eddigi
afféle,efféle
akképp,ekképp
akkora,ekkora
akkori,ekkori
áltört,eltört
azután,ezután
ájulat,újulat
átmérő,útmérő
áttörő,úttörő
araszt,áraszt
áraszt,araszt
adatol,odatol
áldott,oldott
alvadt,olvadt
ármány,ormány
asztag,osztag
agybaj,ügybaj
ágyelő,ügyelő
aszály,uszály
ázalag,szalag
adomás,aromás
ágenda,árenda
ajakos,alakos
ájulás,ámulás
ájulás,árulás
ájulat,ámulat
akaszt,apaszt
akaszt,araszt
áltört,áttört
ámítás,ásítás
ámulás,árulás
apaszt,araszt
áradás,átadás
áradat,átadat
aratás,avatás
árnyal,átnyal
adózik,aduzik
aláíró,albíró
alázat,aljzat
áldott,állott
arcmás,aromás
ármány,ártány
ásatás,ásítás
átbont,átront
átéget,átüget
áterez,átérez
átevez,átövez
átfagy,áthagy
átfejt,átlejt
átfejt,átsejt
átirat,átírat
átkölt,áttölt
átlejt,átsejt
átleng,átreng
átleng,átzeng
átreng,átzeng
áttesz,átvesz
áttevő,átvevő
adagol,adatol
adódik,adózik
aláfér,alámér
aláfér,alátér
aláfon,alávon
aláfúr,alátúr
aláfut,alájut
alájár,alázár
alakít,alapít
alakos,alapos
alakul,alapul
alámer,aláver
alámér,alátér
alárúg,alázúg
altaji,altáji
anyóka,anyuka
arrább,arrébb
átadat,átavat
átélez,átérez
áterez,átevez
áthall,áthull
átirat,átitat
átkelt,átkölt
átránt,átront
átreng,átring
átsíel,átszel
áttart,áttört
átvesz,átvisz
átvevő,átvivő
akárki,akármi
aláfér,aláfúr
aláfut,aláfűt
alához,aláhúz
alálép,alálop
alámar,alámer
alámar,alámér
alámer,alámér
alanti,alanyi
aláölt,aláönt
alapél,alapul
alátér,alátör
alátér,alátúr
alátör,alátúr
albínó,albíró
állami,állati
aprófa,apróka
átcsap,átcsíp
átfejt,átfest
átgyúr,átgyűr
átküld,átküzd
átnyal,átnyúl
átokol,átokul
átszel,átszól
átszór,átszúr
átszór,átszűr
átszúr,átszűr
áttölt,áttört
átutal,átutál
átvető,átvevő
acélos,acéloz
akkora,akkord
akkora,akkori
akkord,akkori
aláfog,aláfon
aláíró,aláírt
alákel,aláken
alapos,alapoz
alátér,alátét
alátöm,alátör
aláver,alávet
alkati,alkatú
anyagi,anyagú
árnyal,árnyas
aszaló,aszalt
asztag,asztal
átárad,átáraz
átcsal,átcsap
átéled,átélez
átered,áterez
átkelő,átkelt
átmenő,átment
átnyer,átnyes
átszed,átszeg
átszed,átszel
átszeg,átszel
átszól,átszór
áttörő,áttört
átutal,átutaz
avatag,avatar
oktató,iktató
otthon,itthon
ottlét,ittlét
óvadék,ivadék
ónsúly,önsúly
óangol,hangol
osztat,úsztat
odatol,adatol
oldott,áldott
olvadt,alvadt
ormány,ármány
osztag,asztag
okirat,ékirat
odajár,olajár
okmány,ormány
orális,ovális
oldott,oltott
odabök,odalök
odabök,odapök
odafen,odaken
odafér,odakér
odafér,odamér
odafér,odatér
odafon,odavon
odafúr,odakúr
odafut,odajut
odafűz,odatűz
odahág,odavág
odahív,odavív
odaint,odaönt
odajár,odatár
odajár,odavár
odajár,odazár
odakér,odamér
odakér,odatér
odalök,odapök
odamér,odatér
odarúg,odasúg
odarúg,odazúg
odasúg,odazúg
odatár,odavár
odatár,odazár
odavár,odazár
oszlás,osztás
oszlat,osztat
odadől,odadűl
odafen,odafon
odafér,odafúr
odahoz,odahúz
odakap,odaköp
odakér,odakúr
odalep,odalép
odalep,odalop
odalép,odalop
odamar,odamér
odatár,odatér
odatár,odatör
odatér,odatör
odavan,odavon
odavár,odaver
okádék,okádik
olvadó,olvasó
odafog,odafon
odafúj,odafúl
odafúj,odafúr
odafúl,odafúr
odaköp,odaköt
odalep,odales
odasül,odasüt
odavág,odavár
odaver,odavet
okulár,okulás
olajág,olajár
olajos,olajoz
oldali,oldalt
oldali,oldalú
oldalt,oldalú
olvadó,olvadt
osztag,osztat
óvatol,óvatos
őrhajó,űrhajó
őrszem,őzszem
ősanya,ősatya
őszelő,őszülő
őrlánc,őrláng
csiger,zsiger
csúfol,zsúfol
csupán,zsupán
csacsi,csécsi
csahol,csihol
csákós,csikós
csapás,csipás
csapáz,csipáz
csapol,csápol
csapos,csápos
csárda,csorda
csatak,csutak
csáváz,csőváz
cselló,csilló
cselló,csilló
csepeg,csipeg
cserge,csörge
csikiz,csokiz
csikló,csukló
csíkos,csókos
csipet,csípet
csirás,csírás
csorgó,csurgó
csorog,csurog
csőrös,csűrös
csábos,csápos
csahol,csapol
csahol,csatol
csahos,csapos
csahos,csatos
csalás,csapás
csalat,csapat
csapol,csatol
csapos,csatos
csehül,csepül
cseles,cseres
cselez,cserez
csellé,cserlé
csepeg,cseveg
csigás,csipás
csigás,csirás
csigáz,csipáz
csikiz,csiriz
csikló,csilló
csíkoz,csínoz
csipás,csirás
csipke,csirke
csipog,csivog
csobog,csorog
csöbör,csömör
csődök,csőrök
csődöl,csőröl
csődül,csőrül
csődül,csőrül
csöpög,csörög
csúfos,csúzos
csuhás,csukás
csalat,csalit
csapás,csapos
csapáz,csapoz
cserge,cserje
cserkő,cserző
csipeg,csipog
csípés,csípős
csorba,csorda
csődöl,csődül
csődöl,csődül
csörge,csörte
csörgő,csörlő
csőröl,csőről
csőröl,csőrül
csőről,csőrül
csúfol,csúful
csukás,csukcs
csurig,csurog
csahol,csahos
család,csalán
család,csalás
csalán,csalás
csapás,csapáz
csapol,csapos
csapol,csapoz
csápol,csápos
csapos,csapoz
csatol,csatos
cseles,cselez
csellé,cselló
csellé,cselló
cserél,cserép
cseres,cserez
cseveg,csevej
csévél,csévés
csévél,csévéz
csévés,csévéz
csigás,csigáz
csíkos,csíkoz
csille,csilló
csipás,csipáz
csipeg,csipet
csirág,csirák
csirág,csirás
csirák,csirás
csodál,csodás
csókol,csókos
csomós,csomóz
csődök,csődöl
csődök,csődör
csődöl,csődör
csörge,csörgő
csőrök,csőröl
csőrök,csőrös
csőröl,csőrös
csúfol,csúfos
csurog,csurom
évszám,ívszám
érvény,örvény
élőfej,előfej
élőkép,előkép
élőszó,előszó
évődik,evődik
ékirat,okirat
égetés,ügetés
éltető,ültető
édesít,ékesít
édesít,élesít
égőfej,élőfej
éhezés,ékezés
éhezés,élezés
ékesít,élesít
ékezés,élezés
érkező,étkező
éppily,éppoly
éppígy,éppúgy
éleszt,élesít
élethű,életmű
énekel,énekes
kanyar,fanyar
kecske,fecske
kényes,fényes
kérges,férges
kenyér,fenyér
kohász,fohász
kókusz,fókusz
kondor,fondor
kordul,fordul
korgás,forgás
kráter,fráter
kürtös,fürtös
kanári,tanári
kender,tender
kenyér,tenyér
kerítő,terítő
kettes,tettes
koppan,toppan
kotyog,totyog
költés,töltés
költet,töltet
kömény,tömény
kussol,tussol
kétség,vétség
kegyes,vegyes
konyít,vonyít
kétség,rétség
kedves,redves
kemény,remény
ketten,retten
kivall,rivall
kondít,rondít
koppan,roppan
kotyog,rotyog
köpdös,röpdös
köpköd,röpköd
köptet,röptet
kukkol,rukkol
kavaró,zavaró
kordon,zordon
kaffog,laffog
képcső,lépcső
kegyúr,legyúr
keszeg,leszeg
kevert,levert
keverő,leverő
kopott,lopott
kotyog,lotyog
kovász,lovász
kajtat,hajtat
kalász,halász
karcol,harcol
karcos,harcos
kártya,hártya
kétrét,hétrét
kegyes,hegyes
kering,hering
kerreg,herreg
ketyeg,hetyeg
keverő,heverő
korhol,horhol
kurrog,hurrog
kacska,macska
kardos,mardos
kassza,massza
kérges,mérges
kétely,métely
kézelő,mézelő
kellék,mellék
kereng,mereng
kerítő,merítő
kerülő,merülő
kiféle,miféle
koccan,moccan
kondás,mondás
korcol,morcol
kordul,mordul
korgás,morgás
kotyog,motyog
kutató,mutató
karcol,sarcol
kikong,sikong
király,sirály
komlói,somlói
kurrog,surrog
karika,barika
karmol,barmol
karter,barter
kecses,becses
kegyes,begyes
kegyúr,begyúr
kereng,bereng
kering,bering
kerreg,berreg
keszeg,beszeg
kevert,bevert
kólint,bólint
koncol,boncol
kónusz,bónusz
korona,borona
korong,borong
kotlik,botlik
körzés,börzés
kenter,center
kukkol,cukkol
kaland,galand
kaliba,galiba
képíró,gépíró
képsor,gépsor
komoly,gomoly
kordon,gordon
kukker,gukker
kurgat,gurgat
kandúr,pandúr
kártol,pártol
kattan,pattan
kattog,pattog
kékség,pékség
kehely,pehely
kerget,perget
ketyeg,petyeg
kiázik,piázik
kotyog,potyog
krémes,prémes
kanton,Danton
kereng,dereng
kerítő,derítő
kiázik,diázik
kongás,dongás
korong,dorong
kunszt,dunszt
kurrog,durrog
kampec,jampec
kegyes,jegyes
kellem,jellem
kakukk,kukukk
kantár,kontár
kantus,kántus
kappan,koppan
kaptár,képtár
kaptat,koptat
karcol,korcol
karing,kering
karmos,kormos
kaszál,kószál
kaszál,kőszál
kaszál,kuszál
kaszás,kúszás
kémény,kemény
kémény,kömény
kényes,kinyes
készít,kiszít
készül,kiszül
kézelő,kezelő
kegyúr,kigyúr
kellem,küllem
kellős,küllős
keltet,költet
kemény,kömény
kertes,kortes
keszeg,kiszeg
kevert,kivert
kezdet,küzdet
kezdés,küzdés
kihint,köhint
kiránt,koránt
kitörő,kőtörő
kiónoz,klónoz
kocsma,kucsma
komisz,kumisz
korkép,kórkép
korkép,körkép
kórkép,körkép
kószál,kőszál
kószál,kuszál
kölönc,különc
kőszál,kuszál
kajtat,kaptat
kalász,kanász
kamion,kation
kantár,kaptár
kanton,karton
kaparó,kavaró
kapdos,kardos
kéksav,kénsav
kékség,kétség
kémcső,képcső
kémlel,kérlel
kedély,kevély
kehely,kesely
keletű,keretű
kertes,kettes
kivisz,kihisz
kiapad,kispad
kiarat,kiírat
kibont,kiront
kibont,kivont
kierez,kiérez
kifagy,kihagy
kifagy,kisagy
kifejt,kilejt
kifejt,kisejt
kigyúl,kinyúl
kihagy,kisagy
kihall,kivall
kihuny,kisuny
kihánt,kiránt
kihívó,kirívó
kijáró,kizáró
kikérő,kitérő
kikölt,kitölt
kilejt,kisejt
kileng,kizeng
kimárt,kitárt
kimárt,kizárt
kiront,kivont
kiszel,kiízel
kitesz,kivesz
kitárt,kizárt
kiájul,kiújul
kiéget,kiüget
kiörül,kiürül
kobzos,koszos
kohász,kovász
kokott,kopott
kókusz,kónusz
koldul,kondul
koldul,kordul
komlós,kotlós
koncol,korcol
kondul,kordul
kongás,korgás
konzol,koszol
kopács,kovács
ködkép,körkép
kökény,kömény
kökény,kötény
költet,köptet
költet,köttet
kölyök,könyök
kömény,kötény
köptet,köttet
körfal,közfal
körtér,köztér
körúti,közúti
kötött,között
kuksol,kussol
kulacs,kutacs
kutasz,kuvasz
küldés,küzdés
küldet,küzdet
kamara,kamera
kanton,kanyon
kapdos,kapros
karbol,karcol
karbol,karmol
karbon,karton
karcer,karter
karcol,karmol
karcos,kardos
karcos,karmos
kardos,karmos
katlan,kattan
képlet,képzet
kellet,keltet
kender,kenter
kereng,kering
kivisz,kivesz
kivisz,kivész
kiadat,kiarat
kiadat,kiavat
kiakad,kiapad
kiarat,kiavat
kierez,kievez
kifagy,kifogy
kifejt,kifojt
kifele,kiféle
kihall,kihull
kihint,kihánt
kihuny,kihány
kiidéz,kiigéz
kikelt,kikölt
kikezd,kiküzd
kimárt,kimért
kiront,kiránt
kisagy,kiságy
kisded,kiszed
kispad,kisvad
kitart,kitárt
kitilt,kitölt
kitérő,kitörő
kivesz,kivész
kivisz,kivész
kiágaz,kiáraz
kiájul,kiárul
kiélez,kiérez
kiível,kiízel
kiömöl,kiötöl
kiüdül,kiürül
klónoz,klóroz
kokett,kokott
koncér,kondér
koncol,konzol
kondás,kongás
kondít,konyít
kondul,konzul
kondul,konyul
konzul,konyul
korall,koráll
korcol,korhol
korgás,korpás
kóstál,kószál
köhent,köhint
köldök,kölyök
köpcös,köpdös
körkés,körzés
körlet,körzet
krigli,kripli
kukkol,kuksol
kurbli,kurili
kaliba,kalifa
kantin,kanton
karban,karbon
kardal,kardél
karika,karima
képzés,képzős
kerekű,keretű
kettes,kettős
kiadás,kiadós
kibújó,kibúvó
kicsap,kicsíp
kifejt,kifest
kigyúr,kigyűr
kihajt,kihalt
kiküld,kiküzd
kinyal,kinyúl
kinyer,kinyír
kiszed,kiszid
kiszel,kiszól
kiszel,kiszül
kiszól,kiszül
kiszór,kiszúr
kiszór,kiszűr
kiszúr,kiszűr
kitűnő,kitűző
kiutal,kiutál
kiálló,kiáltó
kiásat,kiásít
kondér,kondor
kontár,kontúr
konzol,konzul
kóstál,kóstol
könyék,könyök
követő,kövező
köznap,köznép
közölt,között
kutyás,kutyus
kabard,kabaré
kacsol,kacsoz
kampós,kampóz
kancsi,kancsó
káplán,káplár
karbol,karbon
karcol,karcos
kardos,kardoz
karmol,karmos
kaszál,kaszás
képzel,képzet
kérdet,kérdez
kedvel,kedves
kedvel,kedvez
kedves,kedvez
kegyel,kegyes
keleti,keletű
kellem,kellet
keltet,keltez
kendős,kendőz
kertel,kertes
keserv,keserű
ketten,kettes
kettős,kettőz
kevert,keverő
kezelt,kezelő
kiakad,kiakar
kicsal,kicsap
kiered,kierez
kísérő,kísért
kifele,kifelé
kigyúl,kigyúr
kihall,kihalt
kihall,kihaló
kihalt,kihaló
kihánt,kihány
kikérd,kikérő
kilenc,kileng
kiment,kimenő
kimond,kimonó
kiméra,kimére
kiméra,kimért
kimére,kimért
kinyer,kinyes
kioszk,kioszt
kiráng,kiránt
kisfia,kisfiú
kispad,kispap
kiszed,kiszeg
kiszed,kiszel
kiszeg,kiszel
kiszít,kiszív
kiszól,kiszór
kitold,kitoló
kivált,kiváló
kizárt,kizáró
kiárad,kiáraz
kiéled,kiélez
kiölel,kiölet
koldul,koldus
komlói,komlós
kondom,kondor
konzul,konzum
kormos,kormoz
korona,korong
koszol,koszos
kozmál,kozmás
körkép,körkés
körmöl,körmös
követi,követő
köznép,köznév
kutyul,kutyus
különb,különc
kürtöl,kürtös
belejt,felejt
belelő,felelő
beltér,feltér
bennül,fennül
beszít,feszít
beszül,feszül
billér,fillér
bodros,fodros
bodroz,fodroz
boglár,foglár
boltos,foltos
boltoz,foltoz
bölény,fölény
bújtat,fújtat
bájoló,tájoló
barack,tarack
bárgyú,tárgyú
barokk,tarokk
beázik,teázik
beleél,teleél
beleír,teleír
belelő,telelő
belenő,telenő
beleró,teleró
beleül,teleül
büntet,tüntet
ballon,vallon
begyes,vegyes
beszít,veszít
betett,vetett
billog,villog
boltos,voltos
bontat,vontat
bántás,rántás
beszel,reszel
betesz,retesz
bogyós,rogyós
bojtos,rojtos
bomlás,romlás
bomlik,romlik
bontás,rontás
bontat,rontat
böffen,röffen
babrál,zabrál
beadás,leadás
beadat,leadat
beadat,leadat
beájul,leájul
beakad,leakad
beakar,leakar
bealáz,lealáz
beápol,leápol
beárad,leárad
bearat,learat
beáraz,leáraz
beásat,leásat
beázik,leázik
bebujt,lebujt
becsal,lecsal
becsap,lecsap
becsen,lecsen
becsíp,lecsíp
becsuk,lecsuk
bedönt,ledönt
bedugó,ledugó
beéget,leéget
beélez,leélez
beelőz,leelőz
beemel,leemel
beépít,leépít
beépül,leépül
beerez,leerez
beesés,leesés
beesik,leesik
beetet,leetet
beevez,leevez
befagy,lefagy
befejt,lefejt
befejt,lefejt
befelé,lefelé
befest,lefest
befial,lefial
befogy,lefogy
beforr,leforr
