dzs,Dzs
pér,mér
pór,mór
pár,sár
pír,sír
por,sor
póz,sóz
pör,sör
pán,kán
pap,kap
pár,kár
pék,kék
pép,kép
pér,kér
pié,kié
póc,kóc
por,kor
pór,kór
pör,kör
pun,kun
púp,kúp
pán,bán
pán,bán
pár,bár
pej,bej
pér,bér
pír,bír
pit,bit
pók,bók
por,bor
pór,bór
pök,bök
pár,cár
pát,gát
pép,gép
póc,góc
pán,dán
pér,dér
pia,dia
pór,dór
pár,jár
per,jer
pác,póc
pán,pun
pap,pép
pap,pop
pap,púp
pár,per
pár,pér
pár,pír
pár,por
pár,pór
pár,pör
pát,pit
pék,pók
pék,pök
pép,pop
pép,púp
per,pér
per,pír
per,por
per,pór
per,pör
pér,pír
pér,por
pér,pór
pér,pör
pír,por
pír,pór
pír,pör
pók,pök
pop,púp
por,pór
por,pör
pór,pör
pác,pán
pác,pár
pác,pát
pad,pap
pán,pár
pán,pát
pár,pát
pej,per
pék,pép
pék,pér
pép,pér
pia,pié
pia,pit
pié,pit
póc,pók
póc,pór
póc,póz
pók,pór
pók,póz
pop,por
pór,póz
pök,pör
pub,pun
dal,fal
dél,fél
dér,fér
dia,fia
dog,fog
dór,fór
dől,fől
dúl,fúl
dúr,fúr
dűt,fűt
dag,tag
dél,tél
dér,tér
dúl,túl
dúr,túr
dám,vám
dél,vél
dér,vér
dag,rag
dák,rák
dög,rög
düh,rüh
dám,lám
dob,lob
dal,hal
dám,hám
dúr,húr
dús,hús
dűl,hűl
dűt,hűt
dag,mag
dák,mák
dér,mér
doh,moh
dór,mór
dűt,műt
din,sin
dió,sió
dán,kán
dél,kél
dér,kér
dór,kór
dúr,kúr
dal,bal
dán,bán
dán,bán
dél,bél
dér,bér
dob,bob
dog,bog
dór,bór
dúr,búr
dús,bús
dal,cal
dél,cél
din,cin
dél,gél
din,gin
dán,pán
dér,pér
dia,pia
dór,pór
dog,jog
dac,dúc
dag,dog
dag,dög
dag,dug
dal,dél
dal,dől
dal,dúl
dal,dűl
dám,dóm
dán,din
DAT,DDT
de.,dr.
dél,dől
dél,dúl
dél,dűl
dér,dór
dér,dúr
dió,duó
dog,dög
dog,dug
doh,düh
dór,dúr
dög,dug
dől,dúl
dől,dűl
dúl,dűl
dac,dag
dac,dal
dag,dal
dák,dám
dák,dán
DAM,DAT
dám,dán
dél,dér
dia,din
dia,dió
din,dió
dob,dog
dob,doh
dog,doh
dóm,dór
döf,dög
dúc,dúl
dúc,dúr
dúc,dús
dug,duó
dúl,dúr
dúl,dús
dúr,dús
dűl,dűt
sző,űző
szó,sző
szó,szú
sző,szú
jaj,faj
jel,fel
jen,fen
jog,fog
juj,fuj
jut,fut
jár,tár
jót,tót
jaj,vaj
jak,vak
jár,vár
jég,vég
jer,ver
jaj,raj
jak,rak
jég,rég
jaj,zaj
jár,zár
jen,zen
jak,lak
jég,lég
jel,lel
jen,len
jót,lót
jaj,haj
jód,hód
jón,hón
juj,huj
jár,már
jég,még
jer,mer
jód,mód
jól,mól
jár,sár
jós,sós
jut,sut
jár,kár
jel,kel
jen,ken
jód,kód
jaj,baj
jak,bak
jár,bár
jég,bég
jog,bog
jár,cár
jég,cég
jól,gól
jót,gót
jár,pár
jer,per
jog,dog
jaj,juj
jár,jer
jég,jog
jel,jól
jen,jón
jen,jön
jón,jön
jót,jut
jaj,jak
jel,jen
jel,jer
jen,jer
jód,jól
jód,jón
jód,jós
jód,jót
jól,jón
jól,jós
jól,jót
jón,jós
jón,jót
jós,jót
juh,juj
juh,jut
juj,jut
