fasizmus,tasizmus
lenyálaz,benyálaz
lenyilaz,benyilaz
lenyílik,benyílik
lenyomat,benyomat
lenyomul,benyomul
leolajoz,beolajoz
leolvasó,beolvasó
leoperál,beoperál
leözönöl,beözönöl
leparkol,beparkol
lepaskol,bepaskol
lepattan,bepattan
lepattog,bepattog
leperdül,beperdül
leperkál,beperkál
lepingál,bepingál
lepontoz,bepontoz
lepotyog,bepotyog
lepöcköl,bepöcköl
lepördül,bepördül
lepörget,bepörget
lepörköl,bepörköl
lepötyög,bepötyög
lepötyög,bepötyög
leprémez,beprémez
leprésel,beprésel
lepróbál,bepróbál
lepumpál,bepumpál
lepuszil,bepuszil
lerácsoz,berácsoz
leragyog,beragyog
lerajzik,berajzik
lerajzol,berajzol
leráncol,beráncol
lerándul,berándul
lerángat,berángat
lerendel,berendel
lerendez,berendez
lereszel,bereszel
leriaszt,beriaszt
lerobban,berobban
lerombol,berombol
leromlik,beromlik
lerondít,berondít
leroppan,beroppan
leroskad,beroskad
lerothad,berothad
leröffen,beröffen
lerögzít,berögzít
lerögzül,berögzül
leröppen,beröppen
leröptet,beröptet
leruccan,beruccan
lerugdal,berugdal
lerugdos,berugdos
lerúgtat,berúgtat
lesajtol,besajtol
lesáncol,besáncol
lesandít,besandít
lesárgít,besárgít
lesárgul,besárgul
leseggel,beseggel
lesiklat,besiklat
lesiklik,besiklik
lesmárol,besmárol
lesóhajt,besóhajt
lesokkol,besokkol
lespórol,bespórol
lesrófol,besrófol
lesuhint,besuhint
lesúlyoz,besúlyoz
lesurran,besurran
lesuttog,besuttog
lesüpped,besüpped
leszakad,beszakad
leszakít,beszakít
leszalad,beszalad
leszálló,beszálló
leszámít,beszámít
leszámol,beszámol
leszámoz,beszámoz
leszárad,beszárad
leszarik,beszarik
leszárít,beszárít
leszavaz,beszavaz
leszedet,beszedet
leszédít,beszédít
leszédül,beszédül
leszegel,beszegel
leszegez,beszegez
leszemez,beszemez
leszerel,beszerel
leszeret,beszeret
leszerez,beszerez
leszíjaz,beszíjaz
leszitál,beszitál
leszívat,beszívat
leszokik,beszokik
leszólít,beszólít
leszopat,beszopat
leszorít,beszorít
leszorul,beszorul
leszögez,beszögez
leszökik,beszökik
leszőkít,beszőkít
leszőkül,beszőkül
leszúrat,beszúrat
leszűkít,beszűkít
leszűköl,beszűköl
leszűkül,beszűkül
letaglóz,betaglóz
letáncol,betáncol
letapint,betapint
letapsol,betapsol
letaszít,betaszít
letekint,betekint
letérdel,betérdel
leteremt,beteremt
leterhel,beterhel
leterjed,beterjed
letermel,betermel
letervez,betervez
letesped,betesped
letettet,betettet
letiltás,betiltás
letiltat,betiltat
letompul,betompul
letoppan,betoppan
letorkol,betorkol
letorzít,betorzít
letorzul,betorzul
letotyog,betotyog
letöltet,betöltet
letömköd,betömköd
letördel,betördel
letörtet,betörtet
letunkol,betunkol
letűzdel,betűzdel
leúsztat,beúsztat
leutazik,beutazik
leütődik,beütődik
leütöget,beütöget
leüzemel,beüzemel
levackol,bevackol
levagdal,bevagdal
levagdos,bevagdos
levágtat,bevágtat
leváltás,beváltás
leváltat,beváltat
levegyít,bevegyít
leverdes,beverdes
levérzik,bevérzik
leveszik,beveszik
levezető,bevezető
levillan,bevillan
levilláz,bevilláz
levillog,bevillog
levontat,bevontat
lezajlik,bezajlik
lezökken,bezökken
lezötyög,bezötyög
lezuhint,bezuhint
lezüllik,bezüllik
lezsákol,bezsákol
lezsaluz,bezsaluz
lezsarol,bezsarol
lezsebel,bezsebel
lezsíroz,bezsíroz
lázrózsa,gázrózsa
lendülés,pendülés
lottyant,pottyant
lobbanás,dobbanás
lobogtat,dobogtat
légréteg,jégréteg
légtömlő,jégtömlő
lebbenés,libbenés
lábatlan,látatlan
lakályos,lapályos
lakocska,lapocska
lakosság,laposság
lebarmol,lekarmol
lebomlik,leromlik
lebontat,lerontat
lebontat,levontat
lebökdös,lelökdös
lebukkan,lepukkan
lecuppan,lehuppan
ledobban,lerobban
ledokkol,lesokkol
ledurran,lesurran
lefeszít,leveszít
lefuttat,lejuttat
legerjed,leterjed
legittel,lesittel
legombol,lerombol
legördül,lepördül
legörget,lepörget
lehajlik,lezajlik
lehántat,lerántat
leharcol,lekarcol
lehurrog,lesurrog
lejattol,lemattol
lekattan,lepattan
lekerget,leperget
leketyeg,lepetyeg
lekoppan,leroppan
lekoppan,letoppan
leköpköd,leröpköd
lekussol,letussol
leláncol,leráncol
leláncol,lesáncol
leláncol,letáncol
lelebben,lerebben
leledzik,levedzik
lelépdel,letépdel
lelépked,letépked
lemeszel,lereszel
lepotyog,letotyog
lepötyög,lezötyög
leráncol,lesáncol
leráncol,letáncol
lerontat,levontat
leroppan,letoppan
lesáncol,letáncol
lesarlóz,letarlóz
lesuhint,lezuhint
leszemel,leüzemel
lótakaró,lóvakaró
láncolás,lángolás
leakaszt,leapaszt
lebaktat,lebuktat
lebecsül,leböcsül
lebujtat,lebújtat
ledekkol,ledokkol
leferdít,lefordít
legbelül,legfelül
légfűtés,léghűtés
lehantol,lehántol
leharcol,lehurcol
lekaszál,lekószál
lekezdet,leküzdet
lelebben,lelibben
leperdül,lepördül
leperget,lepörget
lerántat,lerontat
letérdel,letördel
leadózik,leaduzik
lebujtat,lebuktat
lecsorog,lecsurog
ledöngöl,ledörgöl
lefejlik,lefeslik
lefejtet,lefektet
lefejtet,lefestet
lefektet,lefestet
lefogyás,lefolyás
legfelül,legfölül
lekémlel,lekérlel
leküldet,leküzdet
lemondat,lemosdat
lenyálaz,lenyilaz
leparkol,lepaskol
lepenget,leperget
lepöcköl,lepörköl
leszakít,leszőkít
leszakít,leszűkít
leszárít,leszorít
leszegez,leszögez
leszokik,leszökik
leszőkít,leszűkít
leszőkül,leszűkül
letaglóz,letarlóz
letépdel,letérdel
letöltet,letörtet
levágtat,leváltat
levedzik,leveszik
levehető,levezető
lassúdik,lassúzik
leadódik,leadózik
lecsapol,lecsatol
lecsobog,lecsorog
lecsöpög,lecsörög
ledönget,ledöntet
leformáz,leforráz
legörbít,legördít
legörbül,legördül
lehangol,lehantol
lehántat,lehányat
lekarcol,lekarmol
lenyakal,lenyaral
lenyelet,lenyeset
lerángat,lerántat
leszakad,leszalad
leszámít,leszárít
leszedet,leszeret
leszegel,leszelel
leszegel,leszemel
leszegel,leszerel
leszegez,leszemez
leszegez,leszerez
leszelel,leszemel
leszelel,leszerel
leszemel,leszerel
leszemez,leszerez
leszokik,leszopik
leterhel,letermel
levedlik,levedzik
locsogás,locsolás
löttyent,löttyint
lábfájás,lábfájós
lebbencs,lebbenés
leszűköl,leszűkül
lottyadt,lottyant
láthatár,láthatás
léghuzam,léghuzat
légvonal,légvonat
lekacsol,lekacsoz
lekérdet,lekérdez
lenyakal,lenyakaz
lepukkad,lepukkan
lerendel,lerendez
leszálló,leszállt
leszámol,leszámoz
leszegel,leszegez
leszemel,leszemez
leszerel,leszeret
leszerel,leszerez
leszeret,leszerez
letépdel,letépdes
ennivaló,innivaló
effektus,affektus
effektív,affektív
ekkorról,akkorról
ekkortól,akkortól
ekkorára,akkorára
ekképpen,akképpen
elkonyul,alkonyul
elcsapat,élcsapat
egyesség,ügyesség
egyetlen,ügyetlen
előfürdő,ülőfürdő
enteriőr,exteriőr
epedezik,esedezik
elbabrál,elzabrál
elbarmol,elkarmol
elbomlik,elromlik
elbontat,elrontat
elbontat,elvontat
elbotlik,elkotlik
elbukkan,elpukkan
elbújtat,elfújtat
elcirkál,elfirkál
elcuppan,elhuppan
eldereng,elkereng
eldereng,elmereng
eldobban,ellobban
eldobban,elrobban
eldugdos,elrugdos
eldurran,elsurran
eldurvul,elkurvul
eldördül,elgördül
eldördül,elhördül
eldördül,elpördül
eldörren,elzörren
elfajzik,elrajzik
elfecseg,elrecseg
elfejtet,elrejtet
elferdít,elperdít
elferdül,elperdül
elfeszít,elveszít
elfordul,elmordul
elfuttat,eljuttat
elgagyog,elragyog
elgombol,elrombol
elgördül,elhördül
elgördül,elpördül
elgörget,elpörget
elhajlik,elzajlik
elharcol,elsarcol
elhördül,elpördül
elhümmög,elzümmög
eljajong,elrajong
eljajong,elzajong
eljegyez,ellegyez
elkattan,elpattan
elkereng,elmereng
elkerget,elperget
elkondít,elrondít
elkorhad,elporhad
elkotyog,elmotyog
elkotyog,elpotyog
elkotyog,eltotyog
elkussol,eltussol
elköltet,eltöltet
elkúszik,előúszik
ellebben,elrebben
ellobban,elrobban
ellépked,eltépked
ellötyög,elpötyög
ellötyög,elzötyög
elmarkol,elparkol
elmerült,elterült
elmeszel,elreszel
elmotyog,elpotyog
elmotyog,eltotyog
elmállik,elpállik
elosztat,elúsztat
elpenget,eltenget
elpotyog,eltotyog
elpötyög,elzötyög
elrajong,elzajong
elrajtol,elsajtol
elrikolt,elsikolt
elrontat,elvontat
elsikkad,eltikkad
elsáncol,eltáncol
elakaszt,elapaszt
elbaktat,elbuktat
elbujtat,elbújtat
elepeszt,elereszt
elferdít,elfordít
elfojtat,elfújtat
elhallik,elhullik
elharcol,elhurcol
elkaptat,elkoptat
elkaszál,elkuszál
elkaszál,elkószál
elkuszál,elkószál
ellebben,ellibben
elperdül,elpördül
elperget,elpörget
elreppen,elröppen
elringat,elrángat
elrondít,elrándít
eltérdel,eltördel
előderít,előkerít
előderít,előterít
elődobog,előrobog
előgörög,előzörög
előiszik,előúszik
előjárat,elővárat
előkerít,előterít
előkutat,előmutat
előnevet,előrevet
előpakol,elővakol
előpirít,elővirít
előporoz,elősoroz
előpárol,előtárol
elősuhan,előzuhan
erődítés,erősítés
egyesség,egyezség
elbomlik,elbotlik
elbujtat,elbuktat
elcaflat,elcaplat
elcsorog,elcsurog
eldöngöl,eldörgöl
elfejtet,elfektet
elhajlik,elhallik
elkoldul,elkondul
elköltet,elköttet
ellebben,ellenben
elmordul,elmozdul
elnyílik,elnyúlik
elparkol,elpaskol
elparkol,elpatkol
elpaskol,elpatkol
elpenget,elperget
elpillog,elpislog
elporhad,elposhad
elpöcköl,elpörköl
elringat,elriogat
elsaccol,elsarcol
elszakít,elszűkít
elszokik,elszökik
elszorít,elszárít
eltervez,eltetvez
eltrafál,eltréfál
eltöltet,eltörtet
elvadult,elvakult
elvágtat,elváltat
elősivít,elősüvít
elővetet,elővétet
eskütevő,esküvevő
egybebúj,egybefúj
egybefon,egybevon
egybefűz,egybetűz
egybejár,egybezár
egybekér,egybemér
egyenget,egyenlet
ekkorról,ekkortól
elcsahol,elcsapol
elcsahol,elcsatol
elcsalás,elcsapás
elcsapol,elcsatol
elcsepeg,elcseveg
elcsobog,elcsorog
eldönget,eldöntet
elgörbít,elgördít
elgörbül,elgördül
elhangol,elhantol
elkereng,elkering
elkondul,elkonyul
ellenkép,ellenlép
ellenkér,ellenmér
elnyelet,elnyeret
elnyelés,elnyerés
eloszlat,elosztat
elporhad,elporlad
elporlik,elporzik
elrajtol,elrajzol
elszakad,elszalad
elszegel,elszelel
elszegel,elszerel
elszeget,elszeret
elszelel,elszerel
elszámít,elszárít
elszédít,elszépít
elterhel,eltervel
elvermel,elversel
előbújik,előbúvik
előcibál,előcitál
előfogat,előfonat
előhajol,előhatol
előpácol,előpárol
előrebök,előrelök
előrefut,előrejut
előrehív,előrevív
előrelát,előretát
előretár,előrevár
elősimít,elősivít
elővetet,elővezet
elővágás,elővájás
emberkor,embersor
emléklap,emléknap
esőcsepp,esőcsöpp
ezüstkor,ezüstpor
egybefőz,egybefűz
egybekel,egybekél
egyenlet,egyenlít
elfogadó,elfogató
ellendűl,ellendül
ellenfal,ellenfél
elnyeret,elnyerít
előredől,előredűl
előrehat,előrehűt
előrehoz,előrehúz
előrelep,előrelop
előrelep,előrelép
előrelop,előrelép
előretár,előretör
előretár,előretűr
előretör,előretűr
előrevet,előrevét
előtárol,előtárul
elővetet,elővetít
előállat,előállít
emberfaj,emberfej
egybefog,egybefon
egybekel,egybeken
egybekél,egybekér
egybeold,egybeolt
egybesül,egybesüt
egybever,egybevet
egyenleg,egyenlet
egyházfi,egyházfő
elbilleg,elbillen
elbűvölt,elbűvölő
elgondol,elgondoz
elhangol,elhangoz
elismert,elismerő
ellenkép,ellenkér
ellenzék,ellenzés
ellenére,ellenérv
elmormog,elmormol
elpukkad,elpukkan
elrejtek,elrejtet
elrendel,elrendez
elszaval,elszavaz
elszegel,elszeget
elszerel,elszeret
elszerel,elszerez
elszeret,elszerez
elszámol,elszámoz
eltervel,eltervez
elődobog,elődobol
előfalat,előfalaz
előképed,előképez
előleges,előlegez
előnevel,előnevet
előnevel,előnevez
előnevet,előnevez
előretár,előretát
előrevág,előrevár
elősorol,elősoroz
előterel,előterem
előtárol,előtároz
elővétel,elővétet
ereszték,eresztés
erkölcsi,erkölcsű
erőtelen,erőtelep
halcsont,falcsont
hentereg,fentereg
hőforrás,főforrás
hűtőtest,fűtőtest
hallózik,tallózik
hintázik,tintázik
hadászat,vadászat
hagyogat,vagyogat
hallomás,vallomás
hidegség,ridegség
hosszall,rosszall
hótakaró,lótakaró
házatlan,mázatlan
hunyorog,sunyorog
hallózik,kallózik
halfogás,balfogás
hosszant,bosszant
huppanós,cuppanós
hantázik,hintázik
hantolás,hántolás
hadászat,halászat
hajított,hasított
halacska,hasacska
hegyezés,helyezés
hegyrajz,helyrajz
hídverés,hírverés
hirtelen,hittelen
húrtartó,hústartó
halászik,hallszik
hangolás,hantolás
horgaszt,horpaszt
horgolás,horkolás
hallgató,hallható
hallózik,hallszik
harsanás,harsonás
hamarabb,hamarább
harmadfű,harmatfű
harsogás,harsonás
hátrabök,hátralök
hátrabúj,hátrafúj
hátrafut,hátrajut
hátraint,hátraönt
hátrajár,hátrazár
hátralép,hátratép
hátrarúg,hátrazúg
hazavesz,hazavisz
hozzáfér,hozzámér
hozzáfér,hozzátér
hozzáfon,hozzávon
hozzáfut,hozzájut
hozzáfűz,hozzátűz
hozzájár,hozzázár
hozzámer,hozzáver
hozzámér,hozzátér
hozzárág,hozzávág
hasonlat,hasonlít
hátradől,hátradűl
hátrafűt,hátrafut
hátrahoz,hátrahúz
hátralék,hátralök
hátratör,hátratúr
hátravan,hátravon
hátravet,hátravét
hazaküld,hazaküzd
hazautal,hazautál
hozzádől,hozzádűl
hozzáfőz,hozzáfűz
hozzához,hozzáhúz
hozzámer,hozzámér
hozzáölt,hozzáönt
hozzátér,hozzátör
hozzávet,hozzávét
hőbörgés,hőbörgős
használó,használt
hatalmas,hatalmaz
hátralék,hátralép
hátraver,hátravet
hazacsal,hazacsap
hazautal,hazautaz
hengerel,hengeres
hengerel,hengerez
hengeres,hengerez
hercegné,hercegnő
hozzáfog,hozzáfon
hozzáver,hozzávet
hüvelyes,hüvelyez
májvirág,fájvirág
mérkőzik,férkőzik
műszeres,fűszeres
martalék,tartalék
merített,terített
magtalan,ragtalan
máztalan,láztalan
megerjed,legerjed
motyogás,lotyogás
mázatlan,házatlan
maroknyi,saroknyi
mellékes,kellékes
mérgesít,kérgesít
mérgesül,kérgesül
moccanás,koccanás
montíroz,kontíroz
motyogás,kotyogás
megerjed,begerjed
melenget,belenget
művészet,bűvészet
markíroz,parkíroz
mentális,dentális
merített,derített
magvetés,megvetés
májvirág,mákvirág
meglékel,mellékel
maréknyi,maroknyi
megagyal,megágyal
megáldat,megoldat
megáldoz,megoldoz
megalvad,megolvad
megaszik,megeszik
megaszik,megiszik
megaszik,megúszik
megbékít,megkékít
megbékül,megkékül
megbénít,megvénít
megbikáz,megfikáz
megbízik,meghízik
megbódít,meghódít
megbódít,meglódít
megbódít,megtódít
megbódul,meglódul
megbomol,megromol
megbotoz,megmotoz
megbúsít,megdúsít
megcímez,meghímez
megdagad,megragad
megdagad,megtagad
megdelel,megfelel
megdelel,megjelel
megdelel,megtelel
megderít,megkerít
megderít,megmerít
megderít,megterít
megderül,megkerül
megderül,megmerül
megderül,megterül
megdobog,meglobog
megegyel,megügyel
megellet,megillet
megellik,megillik
megéltet,megöltet
megéltet,megültet
megérzés,megőrzés
megeszik,megiszik
megeszik,megúszik
megfakít,megvakít
megfakul,megvakul
megfarol,megkarol
megfásul,megmásul
megfejtő,meglejtő
megfelel,megjelel
megfelel,megtelel
megfelez,megjelez
megfonat,megvonat
megforog,megmorog
meggázol,megmázol
meggázol,megvázol
meghágat,megvágat
meghajol,megkajol
meghasal,megvasal
meghever,megkever
meghívat,megvívat
meghódít,meglódít
meghódít,megtódít
meghódol,megkódol
meghódol,megmódol
meghuhog,megsuhog
meghúzat,megzúzat
megintet,megöntet
megiszik,megúszik
megjárat,megvárat
megjelel,megtelel
megkavar,megzavar
megkérés,megtérés
megkéret,megméret
megkerít,megmerít
megkerít,megterít
megkerül,megmerül
megkerül,megterül
megkéset,megvéset
megkezel,megrezel
megkódol,megmódol
megkövet,meglövet
megkutat,megmutat
meglakat,megrakat
meglakol,megpakol
meglehet,megtehet
meglépet,megtépet
megliheg,megpiheg
meglódít,megtódít
meglógat,megnógat
meglohad,megrohad
megmásít,megvásít
megmásol,megvásol
megmázol,megvázol
megmerít,megterít
megmerül,megterül
megnémít,megrémít
megnyújt,meggyújt
megomlik,megömlik
megöltet,megültet
megpörög,megzörög
megrabol,megzabol
megragad,megtagad
megrúgat,megzúgat
megsérül,megtérül
megsuhan,megzuhan
megtakar,megvakar
megtétel,megvétel
megtetet,megvetet
megéltet,megértet
megfizet,megfőzet
meghozat,meghúzat
megihlet,megillet
megiszik,megizzik
megkerít,megkörít
meglebeg,meglibeg
meglepet,meglépet
megnevel,megnövel
megöltet,megöntet
megpácol,megpucol
megrakat,megríkat
megtemet,megtömet
megtérés,megtörés
megterít,megtérít
megterül,megtérül
megterül,megtörül
megtérül,megtörül
megvadít,megvidít
megvadul,megvidul
megvásít,megvisít
megvetet,megvétet
mélyföld,mélyzöld
magáncél,magánfél
megáldat,megállat
megbékít,megbénít
megbogoz,megbotoz
megbomol,megbotol
megbújik,megbúvik
megcibál,megcitál
megcseng,megcsüng
megdacol,megdalol
megdacol,megdanol
megdalol,megdanol
megdobál,megdotál
megérlel,megérvel
megértés,megérzés
megfedez,megfelez
megfejel,megfelel
megfejel,megfesel
megfelel,megfesel
megfogat,megfonat
megfújat,megfúrat
megfújat,megfúvat
megfúrat,megfúvat
meggátol,meggázol
meghajít,meghasít
meghalad,meghasad
meghalás,meghatás
megkajál,megkapál
megkajol,megkarol
megkapar,megkavar
megkénez,megképez
megkéret,megkéset
megkócol,megkódol
megköpet,megkövet
megköpül,megkövül
meglakol,meglatol
meglapít,meglazít
meglapul,meglazul
meglegel,meglehel
meglehet,meglepet
meglibeg,megliheg
meglóbáz,meglógáz
megmásol,megmázol
megmorog,megmozog
megmulat,megmutat
megpácol,megpárol
megreked,megreped
megremeg,megrezeg
megsuhog,megsusog
megtagad,megtapad
megtágul,megtárul
megtehet,megtemet
megtehet,megtetet
megtelel,megterel
megtelít,megterít
megtemet,megtetet
megtojat,megtolat
megtömet,megtöret
megülhet,megültet
megvadít,megvakít
megvádol,megvámol
megvádol,megvásol
megvádol,megvázol
megvadul,megvakul
megvágat,megvárat
megvágta,megvárta
megválik,megvásik
megvámol,megvásol
megvámol,megvázol
megvárás,megvásás
megvásol,megvázol
megvédet,megvéset
megvédet,megvétet
megverés,megvetés
megveret,megvetet
megveret,megvezet
megvéset,megvétet
megvetet,megvezet
megvidít,megvisít
megzúgat,megzúzat
meggyújt,meggyűjt
melléfut,melléjut
melléfűz,mellétűz
melléjár,mellézár
mellékág,mellévág
mellékel,mellétel
munkalap,munkanap
megállat,megállít
megbékél,megbékül
megjelel,megjelöl
megkajál,megkajol
meglábal,meglábol
megmásol,megmásul
megterel,megterül
megtömet,megtömít
megtöröl,megtörül
megvetet,megvetít
megzabál,megzabol
mellékel,mellékél
melléköt,mellékút
muzsikás,muzsikus
magáncég,magáncél
mágneses,mágnesez
magyarán,magyaráz
malteros,malteroz
maszatol,maszatos
mazsolás,mazsoláz
megágyal,megágyaz
megbotol,megbotoz
megdobál,megdobás
megfeled,megfelel
megfeled,megfelez
megfelel,megfelez
megfogad,megfogan
megfogad,megfogat
megfogan,megfogat
meghasad,meghasal
megjelel,megjelez
megkapar,megkapat
megkésel,megkéset
megkövet,megkövez
meglehel,meglehet
meglóbál,meglóbáz
megmarad,megmarat
megnevel,megnevet
megnevel,megnevez
megnevet,megnevez
megolvad,megolvas
megpiheg,megpihen
megrezeg,megrezel
megrohad,megrohan
megterel,megterem
megvétel,megvétet
meggyőze,meggyőző
mellékel,mellékes
menekülő,menekült
mészárol,mészáros
minőségi,minőségű
muzsikál,muzsikás
útkaparó,átkaparó
útépítés,átépítés
úrvezető,őrvezető
újraerez,újraérez
újrakölt,újratölt
újrakelt,újrakölt
újraélez,újraérez
újragyúl,újragyúr
újraéled,újraélez
sekélyes,fekélyes
sületlen,fületlen
sikkaszt,tikkaszt
sejtelem,rejtelem
sunyorog,hunyorog
saroknyi,maroknyi
sanyarog,kanyarog
sérelmez,kérelmez
surrogás,kurrogás
stilizál,utilizál
somolyog,gomolyog
sercegés,percegés
serdülés,perdülés
saraboló,daraboló
surrogás,durrogás
serfőzde,sörfőzde
sunyorog,sutyorog
sétálgat,sétáltat
sértődés,sértődős
slisszel,slisszol
sóvárgás,sóvárgós
spórolás,spórolós
süppedés,süppedős
sürgetés,sürgetős
sehonnai,sehonnan
selejtes,selejtez
selyemfa,selyemfű
sérelmes,sérelmez
spriccel,spriccer
sprintel,sprinter
sulykoló,sulykolt
süppedék,süppedés
autódaru,futódaru
állékony,illékony
affektív,effektív
affektus,effektus
akképpen,ekképpen
akkorára,ekkorára
akkorról,ekkorról
akkortól,ekkortól
alkonyul,elkonyul
átépítés,útépítés
átkaparó,útkaparó
áldatlan,oldatlan
ármányos,ormányos
aszályos,uszályos
ábrándul,átrándul
adakozás,alakozás
áhítozik,ásítozik
anyátlan,atyátlan
árképzés,átképzés
áldatlan,álmatlan
animális,anomális
átcuppan,áthuppan
átdereng,átmereng
átfejlik,átsejlik
átfordul,átmordul
átformáz,átnormáz
átfurkál,átturkál
átfuttat,átjuttat
átgombol,átrombol
átgombol,áttombol
átgördül,átpördül
átgörget,átpörget
átgörget,átzörget
átharcol,átkarcol
áthintáz,átmintáz
átjegyez,átlegyez
átkattan,átpattan
átkerget,átperget
átlebben,átrebben
átlendül,átpendül
átlobban,átrobban
átmeszel,átreszel
átpörget,átzörget
átpotyog,áttotyog
átrészel,átvészel
átrombol,áttombol
áttehető,átvehető
alákerül,alámerül
alakítás,alapítás
alakozás,alapozás
alakrajz,alaprajz
alálehet,alátehet
alámerít,aláterít
aláomlik,aláömlik
alásuhan,alázuhan
amodális,amorális
átbaktat,átbuktat
átbujtat,átbújtat
átfirkál,átfurkál
áthallat,áthullat
áthallik,áthullik
átharcol,áthurcol
átlebben,átlibben
átperdül,átpördül
átperget,átpörget
átreppen,átröppen
átreszel,átrészel
áttankol,áttunkol
áttérdel,áttördel
átvehető,átvihető
acélgömb,acéltömb
alálebeg,alálibeg
államtan,állattan
átbujtat,átbuktat
átcsorog,átcsurog
átfektet,átfestet
áthajlás,áthallás
áthajlik,áthallik
átmordul,átmozdul
átnyálaz,átnyilaz
átnyílik,átnyúlik
átpántol,átpártol
átpendül,átperdül
átpöcköl,átpörköl
átszárít,átszorít
átszegez,átszögez
átszokik,átszökik
átvágtat,átváltat
agyonhúz,agyonzúz
agyonrág,agyonvág
akkorról,akkortól
alácsöng,alácsüng
aláhajol,aláhatol
alátehet,alátemet
aláteker,aláteper
aranykor,aranypor
átcselez,átcserez
átcsobog,átcsorog
átcsöpög,átcsörög
átgörbül,átgördül
áthurcol,áthurkol
átkukkol,átkuksol
átszakad,átszalad
átszámít,átszárít
átszegez,átszemez
átszelel,átszerel
agyonrág,agyonrúg
agyonrág,agyonrúg
akasztás,akasztós
alácsügg,alácsüng
alálapol,alálapul
általhoz,általhúz
átképzés,átképzős
agyonrág,agyonráz
agyontöm,agyontör
akárhova,akárhová
akárminő,akármint
alkalmas,alkalmaz
általver,általvet
ammóniák,ammóniás
anomália,anomális
anyajogi,anyajogú
aranyhaj,aranyhal
aranyhíd,aranyhím
aránylag,aránylat
árnyalak,árnyalat
árnyékol,árnyékos
árnyékol,árnyékoz
árnyékos,árnyékoz
átbilleg,átbillen
átcsévél,átcsévéz
átformál,átformáz
átkeltet,átkeltez
átrendel,átrendez
átszámol,átszámoz
átszaval,átszavaz
átszerel,átszeret
oldatlan,áldatlan
ormányos,ármányos
ojtatlan,oltatlan
odábbáll,odébbáll
oldatlan,oltatlan
oldószer,oltószer
odadörög,odapörög
odadörög,odazörög
odaeszik,odaúszik
odaforog,odamorog
odagázol,odamázol
odagyújt,odanyújt
odahever,odakever
odajárat,odazárat
odakéret,odaméret
odakerít,odaterít
odakerül,odaterül
odalehet,odatehet
odaomlik,odaömlik
odapörög,odazörög
odasuhan,odazuhan
odatetet,odavetet
odalebeg,odalibeg
odarepít,odaröpít
odarepül,odaröpül
odaterít,odatérít
odavetet,odavitet
odabújik,odabúvik
odacibál,odacitál
odadöcög,odadörög
odagyújt,odagyűjt
odalegel,odalehel
odamásol,odamázol
odasuhog,odasusog
odatehet,odatemet
odatehet,odatetet
odatemet,odatetet
odaülhet,odaültet
odavetet,odavezet
olvasgat,olvastat
odakakál,odakakil
odaterel,odaterül
odavetet,odavetít
odafogad,odafogan
odafogad,odafogat
odafogan,odafogat
odakapar,odakapat
odalehel,odalehet
odamarad,odamarat
odasorol,odasoroz
odaterel,odaterem
országol,országos
őrvezető,úrvezető
őfelsége,őfensége
csaholás,csiholás
csáklyás,csuklyás
császkál,csúszkál
csattint,csettint
cselleng,csülleng
cseppent,csippent
csosszan,csusszan
csaholás,csapolás
csaholás,csatolás
csalódik,csapódik
csapolás,csatolás
csemegés,csepegés
csemegés,csevegés
csenkesz,cserkesz
csepegés,csevegés
családos,csalános
csapolás,csapozás
csattant,csattint
cserkesz,cserkész
csettent,csettint
csévélés,csévézés
csiperke,csipetke
csiripel,csirizel
csontház,csontváz
csavarás,csavaros
csepegés,csepegős
csáklyás,csáklyáz
családfa,családfő
csattanó,csattant
csavarog,csavaros
csavarog,csavaroz
csavaros,csavaroz
cserepes,cserepez
csibehúr,csibehús
csirizel,csirizes
csiszoló,csiszolt
csökkenő,csökkent
évelődik,ívelődik
élcsapat,elcsapat
élőmunka,ülőmunka
édesedik,élesedik
ékelődik,évelődik
ékítmény,építmény
érkezési,étkezési
értelmes,érzelmes
éppannyi,éppennyi
ételszag,éterszag
életkedv,életnedv
édesanya,édesatya
élesztés,élesztős
émelygés,émelygős
érzelgés,érzelgős
értelmes,értelmez
kényelem,fényelem
kegyelem,fegyelem
kegyelmi,fegyelmi
klastrom,flastrom
koszlott,foszlott
kőépület,főépület
kőlépcső,főlépcső
kallózik,tallózik
kelevény,televény
kenyeres,tenyeres
kerületi,területi
költöget,töltöget
kegyszer,vegyszer
kicsorgó,vicsorgó
kicsorog,vicsorog
kézműves,rézműves
kopogtat,ropogtat
koppanás,roppanás
köhécsel,röhécsel
kavargás,zavargás
kotyogás,lotyogás
kottyant,lottyant
kallózik,hallózik
kérgesít,mérgesít
kérgesül,mérgesül
kellékes,mellékes
koccanás,moccanás
kontíroz,montíroz
kotyogás,motyogás
kanyarog,sanyarog
kérelmez,sérelmez
kurrogás,surrogás
kokszoló,bokszoló
kallózás,pallózás
kattanás,pattanás
kottyant,pottyant
köszméte,pöszméte
korongol,dorongol
kurrogás,durrogás
kuruzsol,duruzsol
kellemes,jellemes
kadencia,kádencia
kakukkol,kikukkol
károkozó,kórokozó
kartársi,kortársi
kaszálás,kószálás
kézmunka,közmunka
kézműves,közműves
kifejtés,kőfejtés
kinyomat,kőnyomat
kioperál,kooperál
kortünet,kórtünet
kalászos,kanászos
kapargat,kavargat
kaparint,kavarint
